,gl,searchTerms,Spearman_TFIDF_Content,Kendall_TFIDF_Content,Spearman_BM25_Content,Kendall_BM25_Content,Spearman_VSM_Content,Kendall_VSM_Content,Spearman_TFIDF_Summary,Kendall_TFIDF_Summary,Spearman_BM25_Summary,Kendall_BM25_Summary,Spearman_VSM_Summary,Kendall_VSM_Summary,Comparison_Type,Spearman_Content,Spearman_Summary,Kendall_Content,Kendall_Summary
19,uk,hyundai elantra for sale,0.8999999999999998,0.7999999999999999,0.49999999999999994,0.39999999999999997,-0.19999999999999998,-0.19999999999999998,0.3,0.19999999999999998,0.3,0.19999999999999998,0.6,0.39999999999999997,,,,,
20,uk,hyundai santa fe for sale,0.03571428571428572,-0.04761904761904762,-0.4642857142857144,-0.23809523809523814,-0.3214285714285715,-0.23809523809523814,-0.10714285714285716,-0.14285714285714288,0.0,0.04761904761904762,-0.3571428571428572,-0.33333333333333337,,,,,
21,uk,hyundai santa fe sport for sale,0.3,0.19999999999999998,-0.6,-0.39999999999999997,-0.7999999999999999,-0.6,-0.3,-0.19999999999999998,-0.49999999999999994,-0.19999999999999998,0.19999999999999998,0.19999999999999998,,,,,
22,uk,infiniti qx60 for sale,1.0,1.0,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337,-0.5,-0.33333333333333337,,,,,
23,uk,infiniti qx70 for sale,-0.19999999999999998,-0.19999999999999998,-0.7,-0.6,-0.6,-0.39999999999999997,0.39999999999999997,0.39999999999999997,0.8999999999999998,0.7999999999999999,0.09999999999999999,0.0,,,,,
24,uk,jeep cherokee for sale,-0.8999999999999998,-0.7999999999999999,-0.7,-0.6,0.09999999999999999,0.0,-0.49999999999999994,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997,-0.49999999999999994,-0.19999999999999998,,,,,
25,uk,jeep compass for sale,0.6,0.3333333333333333,-0.3714285714285715,-0.3333333333333333,-0.48571428571428577,-0.3333333333333333,0.2571428571428572,0.2,0.2571428571428572,0.2,0.08571428571428573,0.06666666666666665,,,,,
26,uk,jeep grand cherokee for sale,0.6571428571428573,0.4666666666666666,0.3142857142857143,0.3333333333333333,-0.2571428571428572,-0.2,-0.6,-0.4666666666666666,-0.6,-0.4666666666666666,-0.3714285714285715,-0.3333333333333333,,,,,
27,uk,jeep patriot for sale,-0.19999999999999998,0.0,-0.39999999999999997,-0.3333333333333334,-0.39999999999999997,-0.3333333333333334,0.0,0.0,0.19999999999999998,0.0,-0.39999999999999997,-0.3333333333333334,,,,,
28,uk,kia forte for sale,0.7999999999999999,0.6666666666666669,0.39999999999999997,0.3333333333333334,0.39999999999999997,0.3333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
29,uk,kia sedona for sale,0.3,0.19999999999999998,0.09999999999999999,0.0,0.19999999999999998,0.19999999999999998,0.8999999999999998,0.7999999999999999,0.8999999999999998,0.7999999999999999,0.19999999999999998,0.19999999999999998,,,,,
30,uk,kia sorento for sale,0.14285714285714288,0.06666666666666665,-0.2571428571428572,-0.2,-0.3714285714285715,-0.3333333333333333,0.08571428571428573,0.2,0.028571428571428574,0.06666666666666665,-0.4285714285714286,-0.2,,,,,
31,uk,kia sportage for sale,0.0,-0.19999999999999998,-0.39999999999999997,-0.39999999999999997,-0.49999999999999994,-0.39999999999999997,-0.8999999999999998,-0.7999999999999999,-0.8999999999999998,-0.7999999999999999,-0.09999999999999999,0.0,,,,,
32,uk,mitsubishi lancer for sale,-0.14285714285714288,-0.2,-0.2,-0.06666666666666665,-0.5428571428571429,-0.3333333333333333,-0.7142857142857143,-0.4666666666666666,-0.8857142857142858,-0.7333333333333333,-0.7142857142857143,-0.4666666666666666,,,,,
33,uk,nissan altima for sale,0.7999999999999999,0.6,0.39999999999999997,0.39999999999999997,0.19999999999999998,0.19999999999999998,-0.7,-0.6,-0.6,-0.39999999999999997,-0.39999999999999997,-0.39999999999999997,,,,,
34,uk,nissan frontier for sale,0.9999999999999999,0.9999999999999999,0.49999999999999994,0.39999999999999997,-0.09999999999999999,0.0,0.0,0.19999999999999998,-0.49999999999999994,-0.39999999999999997,-0.49999999999999994,-0.39999999999999997,,,,,
35,uk,nissan juke for sale,0.0,0.0,-0.7999999999999999,-0.6666666666666669,-0.6000000000000001,-0.3333333333333334,-0.19999999999999998,0.0,-0.19999999999999998,0.0,0.39999999999999997,0.3333333333333334,,,,,
36,uk,nissan pathfinder for sale,0.09999999999999999,0.0,0.0,-0.19999999999999998,0.39999999999999997,0.39999999999999997,0.09999999999999999,0.0,0.09999999999999999,0.0,-0.49999999999999994,-0.39999999999999997,,,,,
37,uk,nissan rogue for sale,0.7999999999999999,0.6666666666666669,-0.39999999999999997,-0.3333333333333334,0.39999999999999997,0.3333333333333334,0.39999999999999997,0.3333333333333334,0.39999999999999997,0.3333333333333334,-0.7999999999999999,-0.6666666666666669,,,,,
38,uk,nissan sentra for sale,1.0,1.0,0.7999999999999999,0.6666666666666669,-0.6000000000000001,-0.3333333333333334,-0.19999999999999998,0.0,-0.19999999999999998,0.0,-0.39999999999999997,-0.3333333333333334,,,,,
39,uk,nissan versa for sale,0.39999999999999997,0.39999999999999997,-0.09999999999999999,0.0,0.3,0.19999999999999998,0.09999999999999999,0.0,0.19999999999999998,0.19999999999999998,0.3,0.19999999999999998,,,,,
40,uk,nissan versa note for sale,0.5,0.33333333333333337,0.5,0.33333333333333337,1.0,1.0,0.5,0.33333333333333337,0.5,0.33333333333333337,0.5,0.33333333333333337,,,,,
41,uk,ram 1500 for sale,-0.19999999999999998,-0.19999999999999998,-0.7,-0.6,0.7,0.6,0.8999999999999998,0.7999999999999999,0.8999999999999998,0.7999999999999999,0.6,0.39999999999999997,,,,,
42,uk,toyota corolla for sale,-0.7999999999999999,-0.6666666666666669,-1.0,-1.0,-0.7999999999999999,-0.6666666666666669,-0.19999999999999998,0.0,-0.39999999999999997,-0.3333333333333334,-1.0,-1.0,,,,,
43,uk,toyota prius for sale,0.3714285714285715,0.2,0.2571428571428572,0.06666666666666665,0.48571428571428577,0.3333333333333333,0.4285714285714286,0.2,0.6571428571428573,0.4666666666666666,0.5428571428571429,0.3333333333333333,,,,,
44,uk,toyota rav4 for sale,0.09999999999999999,0.0,-0.3,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.8999999999999998,-0.7999999999999999,-0.7,-0.6,-0.7,-0.6,,,,,
45,uk,toyota yaris for sale,0.7,0.6,0.0,0.0,-0.6,-0.39999999999999997,-0.49999999999999994,-0.39999999999999997,-0.49999999999999994,-0.39999999999999997,0.09999999999999999,0.0,,,,,
46,uk,volkswagen beetle coupe for sale,0.19999999999999998,0.19999999999999998,0.39999999999999997,0.39999999999999997,0.3,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,,,,,
47,uk,volkswagen passat for sale,-0.42857142857142866,-0.33333333333333337,-0.14285714285714288,-0.14285714285714288,-0.28571428571428575,-0.23809523809523814,-0.7500000000000002,-0.6190476190476191,-0.8214285714285715,-0.7142857142857143,-0.03571428571428572,0.04761904761904762,,,,,
48,us,buick enclave for sale,0.7142857142857143,0.4666666666666666,-0.3714285714285715,-0.3333333333333333,0.3714285714285715,0.3333333333333333,-0.3142857142857143,-0.2,-0.3142857142857143,-0.2,0.08571428571428573,0.06666666666666665,,,,,
49,us,buick regal for sale,-0.09999999999999999,0.0,-0.7,-0.6,0.49999999999999994,0.39999999999999997,-0.19999999999999998,-0.19999999999999998,0.19999999999999998,0.19999999999999998,0.49999999999999994,0.39999999999999997,,,,,
50,us,chevrolet malibu for sale,-0.08571428571428573,0.06666666666666665,-0.6571428571428573,-0.6,0.4285714285714286,0.4666666666666666,0.8285714285714287,0.7333333333333333,0.7714285714285715,0.6,0.7714285714285715,0.6,,,,,
